"search_parameters.q","places_results.position","places_results.title","places_results.link","places_results.sponsored","places_results.rating","places_results.reviews","places_results.gps_coordinates.latitude","places_results.gps_coordinates.longitude","places_results.phone","places_results.opening_hours.current","places_results.page"
"pizza",1,"Quito Pizza Company","https://www.quitopizza.com/",false,4.6,126,-0.1852539,-78.477211,"(02) 515-0503","21:00",
"pizza",2,"Fatto a Mano","http://www.fattoamanoecu.com/",false,4.7,260,-0.20116589999999998,-78.42988079999999,"(02) 600-3191","21:15",
"pizza",3,"Pizza SA Amazonas","http://www.pizzasa.com/",false,4.4,514,-0.1833987,-78.487192,"1800 727 272","00:00",
"pizza",4,"Georgina","https://www.facebook.com/georginauio/",false,4.4,737,-0.17792039999999998,-78.4896333,"096 821 6720","21:30",
"pizza",5,"Pizza Hut RepÃºblica del Salvador","https://www.pizzahut.com.ec/",false,4.3,689,-0.1787518,-78.480207,"(02) 399-3200","21:00",
"pizza",6,"Papa John's Naciones Unidas","http://www.papajohns.com.ec/",false,4.4,838,-0.1775497,-78.4786893,"(02) 244-9426","21:30",
"pizza",7,"El Hornero","http://www.pizzeriaelhornero.com.ec/",false,4.4,1688,-0.1674408,-78.480447,"(02) 246-3957","23:00",
"pizza",8,"JACK BROWN PIZZA",,false,3.8,58,-0.17107699999999998,-78.4706355,"(02) 292-3382","21:00",
"pizza",9,"Domino's","http://dominos.ec/",false,4.4,1000,-0.17056,-78.4758628,"(02) 394-8030","23:00",
"pizza",10,"Pizza S.A","http://www.pizzasa.com/",false,4.3,28,-0.1621606,-78.4631969,"(02) 244-4518","22:00",
"pizza",11,"El Hornero","http://www.pizzeriaelhornero.com.ec/",false,4.4,1429,-0.1782687,-78.4798684,"(02) 227-5755","23:00",
"pizza",12,"El Hornero","http://www.pizzeriaelhornero.com.ec/",false,4.5,838,-0.19509569999999998,-78.47763599999999,"(02) 223-0378","23:00",
"pizza",13,"Roy's PizzerÃ­a","http://www.royspizzeria.com/",false,4.4,173,-0.1756573,-78.4841713,"096 352 8889","21:00",
"pizza",14,"Ch Farina","https://www.chfarina.com/",false,4.2,1798,-0.1753471,-78.4852317,"(02) 244-4444","Abierto las 24 horas",
"pizza",15,"Movie House Pizza","http://www.moviehousepizza.com/",false,4.5,82,-0.17975339999999998,-78.4957383,"(02) 331-7612","22:00",
"pizza",16,"Looloâs",,false,4.3,80,-0.1858211,-78.4882332,"098 018 7485","22:30",
"pizza",17,"Pizza al Paso","http://www.alpasopizza.com/",false,4.5,199,-0.1534121,-78.4752475,"(02) 227-8669","22:00",
"pizza",18,"Little Italy","http://www.littleitaly.com.ec/",false,4.3,62,-0.16834829999999998,-78.4753422,"098 021 9908","21:00",
"pizza",19,"La Pizza De Aluca",,false,4.4,178,-0.15643759999999998,-78.490572,"(02) 331-8800","23:00",
"pizza",20,"Cosa Nostra","http://pizzeriacosanostra.ec/",false,4.4,376,-0.20256369999999999,-78.4888373,"(02) 252-7145","16:00 â Horario de apertura: 18:00",
"pizza",21,"Los Tios","http://www.pizzalostios.com/",false,4.3,944,-0.1612555,-78.47617079999999,"(02) 600-6004","23:00",
"pizza",22,"More Chesse Pizzeria Gourmet","https://m.facebook.com/Morechessepizzeria/",false,4.6,138,-0.1671885,-78.4842383,"099 290 7887","23:30",
